,reviews
84,"송금을 했는데요 , 할때마다 네트워크 오류 났다고 뜹니다 정상적으로 송금은 이루어지는데 네트워크 오류 메시지 뜨지 않도록 수정해주셨으면 좋겠습니다 "
85,정말 잘쓰고있는데요 상대방이 토스를 사용하지않으면 소용이없다는 리뷰를 보고 궁금해서 그런데 쇼핑몰이나 사이트에 주문을해서 입금하는 경우에도 해당되나요 \? 사이트 운영자도 토스를 사용해야 되는건가요 \? 최대한 빠른답변 부탁드려요
86, 네이버 다음비교도 안됨 개조음 내용도 좋고 특히 기다리면 무료 잇어 좋음 근데 소설 퀄리티 떨어짐 
87,회원가입하기버튼이 안눌려요 어쩝니까 \? 기가 막힌 답변으로 사용가능 ! ! ! 
88,"감사합니다 문의하고 나서 몇십분 있다가 바로 캐시 들어왔네요 그러고보니 장점을 안 쓴것 같은데 , 저처럼 로맨스 판타지나 로맨스 등 웹툰 소설 좋아하시는 분들에겐 적극 추천드려요 네이버랑은 다르게 무료분이 많이 풀리지는 않지만 전 좋아요 얼마 들지도 않고 다만 결제가 어려운 미성년자분들은 부모님의 동의 후 결제가 가능한 것 같더라구요 19금 작이 웹소설엔 없는 것 같아 좀 아쉽습니다 하지만 재밌는 작품 정말 많으니 한번 깔아보시는것 추천드려요 캐시도 꾸준히 지급받고 있습니다만 , 3천캐시랑 2천캐시 뽑기권에서 100 , 200 , 300 빼고는 한 번도 1000이나 그런 높은 캐시는 당첨되어본 적이 없네요 물론 거의 매일 뽑기권 주시는 건 맞지만 매일 하는데도 잘 당첨이 안되네요 얼마 전에 탑툰도 확률조작한게 걸렸으니만큼요 카카오페이지 정말 신뢰하는데 혹시 확률을 공개해볼 생각은 없으신지요 ! "
89,앱다운하고 회원가입하면 캐시준다면서 지웠다가 2번시도해봤는데 왜 캐시 안주시는건가여 
90,내 주소록은 왜 읽고 싶어하니 \? 전화 번호 자동 연결 권한이 왜 필요해 \? 실행 중인 앱을 왜 검색해 \? 이런게 전자책 앱에 꼭 필요한거야 \? 
91,캐시프렌즈에 클립이 있길래 신규 가입을 했는데 kt폰이라서 그런지 기존에 깔려있는 클립때문에 캐시가 안들어오네요 폰에서 삭제도 안되는 앱이라서 삭제하고 설치할수도없고 
92, 엿쳐먹어 개발자 샠히드라 아닠 미리보기 같은거 걍 꽁자로 보여줌 안뎀 \? 글고 탑툰 같은거 보면 매일 12 2시까지 꽁자로 웹툰보여주는데 여긴 이런거없넹 
93,"은행앱 으로는 복잡한 공인 인증과 비번을 몇번씨 입력해야 송금이 가능 하지만 , 토스는 지문 한방으로 가능 특히 전화 번호만 알아도 송금이 가능한 방식은 무척 편하네요 추천 합니다 "
94,다운로드가 실패했습니다 휴대전화를 끄고 다시 하라해서 했는데 안됌
95,멉니까 \? 몇번을다시 설치해도 그러네요 오류라믄 공지라도해주시든가 
96,친구들이 보내는거 알람끄는 기능없어요 \? 너무 짜증나는데
97,오졌고 지렸고 렛잇고 참 뽑기권을 주면 항상 100캐시만 걸려서 이젠 기대도 안해요 10번 뽑으면 8번은 100캐시주는뎈 
98,다른 소설엡보다 뷰어기능도 떨어지고 한페이지씩 다운이라 중간에 로딩있어서 빡침
99,개발팀 뭐하냐 오류는 가만히 두고 고객센터 뭐하냐 어차피 똑같은 대답만 하면서 소장권 \? 그냥 3년 대여권이라고 해라
100,회원가입이 성공했는데 다음날에 와서 로그인 해보니까 안되더라구요 처음에 제꺼 핸드폰이 잘못된줄 알고 생각한후 친구들꺼 핸드폰으로 해봐는데도 안되더라구요 이 앱 말이죠 우리들을 놀려고 만드는겁니까 \? 
101,토스가뭐지하고 깔고나서 계좌입력하고 좀찝찝한데라고 생각하는순간 친구가 돈보내달라고해서 써봤는데 1분만에 다정리 친구가 그거뭐냐고해서 지금 입소문중 내친구20 30명 다토스쓰는중 
102,맨날 들어갈 때마다 지난 달에 쓴 돈이 바뀜 이미 쓴 돈인데도 왜 들어갈 때마다 바뀌는지 뭐가 맞는지도 모르겠음 만들거면 좀 제대로 만들지 왜 들어갈 때마다 200만원씩 지출한 금액 차이가 나는지 예상금액은 아예 쳐다도 안 본다 너무 안 맞으니까 카드별로 불러와서 더하기 하는것도 못하면서 무슨 카드를 추천한다고 
103,정말 편리하고 다양한 금융기능이 있습니다 많은 분들이 함께했으면 좋겠습니다
104,좋고 다 재밌어요 새 디자인도 업데이트 한 줄 몰랐었는데 보니까 너무 예쁘네요 카카오페이지 응원합니다 
105,애초에 캐시 이벤트라면 기본적인 건 되야 할 것 아닌가요 화보 끝까지 보기가 미션이라고 걸어 놓고서는 화보를 다음 장으로 넘기다가 계속 막히네요
106,일시적인네트워크사정으로서비스가지연되고있습니다 6 다른어플은 멀쩡
107,제가 계정 인증번호를 2회나 틀려서 본인확인이 필요하다고 뜨길래 본인확인을 눌렀는데도 전화나 이런게 하나도 안가고 초기화면으로 돌아가지는데 어떡하죠 \? 답변 부탁드려요
108,왜 문상으로 충전을 하려는데 아무 제한없던 충전하기가 점점 폭이 좁아지죠 \? 어제 밤에 5천원 충전하려다 본인인증하라그래서 3천원만 하고 이번엔 3천원하려는데 본인인증뜨고 그래서 2천원하려는데 본인인증뜨고서 천원만 제한이 없네요
109,등록은해놓고 오늘 처음사용했는데 지문인식하고 완료창보고 깜짝놀라서 남기러 왔어요 인터넷뱅킹 들어가보고 이체확인까지해봤는데 진짜간단하네요
110,내 정보를 한눈에볼수있어서아주 편리하고 심지어 관리까지 가능하니 유익함이 최고네요
111,너무도 유용하게 잘 사용하고 있습니다 개인정보 유출만 안되면 오래오래 계속 쓰겠습니다 
112,카톡 들가보는데 연관어플에 달빛조각사 가 딱 ! 어라 뭐지 \? 눌러보는데 카카오페이지가 딱 ! 달조때매 받는다 카카오페이지 삭제햇었는데 근데 결제방식좀 쉽게해주시면안되나요 \? 본인명의 카드가없어서 카드빌려써야되요 
113,회사가 그렇게 가난한가 공식 문서뷰어에 광고 덕지덕지 애처롭다 
114,그런데 출금에 한도좀 풀어주셨음 좋겠네요 거래가 오고가고하는데 좀 불편함이 언짢아있네용 업데이트 부탁드립니다 \) 
115,아주 잘 사용하고 있습니다 친구가 카톡으로 보내 온 입금계좌를 복사하니 바로 송금하겠냐는 토스 안내화면으로 연결되서 신기하더라구요 이리저리 살펴보다 미션통장도 하나 만들고 앞으로도 잘 쓸게요 
116,아니 캐시 준다해서 g마켓 깔았는데 왜 캐시를 안줘요 \? \? 다른 앱들도 그렇고 이 앱 서버가 어떻게 돌아가는거야 빠른 시일내에 대응 부탁드립니다 
117,옛날에 회원가입을 했었는데 신한이 없어서 삭제했었는데요 신한이 생겼더라고요 그래서 다시 깔았는데 비밀번호 \? 뭐를 치라하네요 그게 기억안나서 재설정햇는데 토스번호를 치라고해는데 그번호를 볼려면 신한뱅크에가서 확인하면된다해서 깔고 들어가봤는데 미회원이라 떠서 가입할려했는데 공인서가 필요한거같아요 토스 로그인안하고 탈퇴하는방법없나요 다시 회원가입하고싶은데 
118,앱 까는 게 너무 많은데 또 별로 불필요한 앱을 깔아 나를 증명한다니 주문하나 하려면 앱깔고 딸린 앱 또 깔고 
119,진짜 업데이트 작작 좀 자주해라 업뎃한다고 인증시간 놓치고 다시 하고 한 번에 되는 경우가 더 드물다
120,살다살다 이렇게 편한 송금어플 처음봄 계속 은행어플쓰다가 이거 깔았는데 혁명수준임 앞으로도 토스가 문닫지않는한 이어플계속쓸듯
121,하루종일 업뎃이 안되네요 ! ! 충전한게 없었음 다 때려치고 딴데로 가고 싶네요 껏다가 켜도 안되고 도대체 어쩌라는 거임 \? 
122,"너무너무 편합니다 여러가지 항목을 단 하나의 앱으로 확인이 가능할 뿐만 아니라 , 여러가지 지속적인 혜택으로 사용자가 일상에서의 소소한 기쁨을 느낄 수 있는것 같습니다 "
123,아 진짜 수수료도 안들고 은행갈 필요도 없고 진짜 겁나 짱짱좋음 
124,보안상에 문제가 생기지않을까 하는 생각이 들정도로 넘 간편하게 송금됩니다 
125,기다리고 있는 로판이 많아요 휴재한 작가님들 빨리 돌아올 수 있게 해주세요 
126,7자리 나오는데 입력은 6개까지만 됨 그래서 큐알 인식 하니까 자리수입력 하라고 함 결론 인증 안됌
127,제대로 만드셧으면 좋겟네요 은행 넣고 계좌번호 넣는데 다시확인하라는 말만 20번을봤네요 대놓고 쓰지말라는거 같애서 삭제 기업은행 쓰시는분들은 참고하세요
128,"너무 잘 쓰고 있습니다 ! 제안할 게 있는데요 , 홈화면 금액 표시 옵션을 여러 계좌에 똑같이 적용하는 게 아니라 계좌별로 옵션을 끄고 킬 수 있게 달아주면 훨씬 좋을 것 같습니다 ! 금액을 자주 확인해야 하는 계좌도 있고 , 자꾸 신경쓸바엔 차라리 엎어두고 쓰는게 나은 계좌도 있고 다 달라서요 ! 쓰면서 그 점이 바뀌면 정말 좋겠다는 생각을 했습니당 ! 감사합니당 "
129,카카오페이지 지웠는데도 왜자꾸 날아오나요 차단하는 법 없습니까
130,잘쓰고있어요 근데 궁금한점이 있는데요 상대가 제 번호는모르고 계좌번호만 아는데 토스잔고로 입금되는경우가 있더라구요 이건어떤경우인가요
131,음 어 먼저 정말 재미있고 저의 마음에 와닿는 웹툰이 정말 많아서 추천드리고 싶습니다 그런데 캐시를 많이 모으고 싶은데 카카오페이지도 출석으로캐시를 주셨으면 좋겠어요 카카오페이지 화이팅 ! ! ! ! 
132,그래서 제가 친구들한테도 홍보했는데 어떤방식으로 수수료가안드는건지 걱정된다면서 꺼려하더군요 어느정도 더 홍보가 필요할거같습니다
133,광고는드럽게많고 느리고 업데이트 너무많이해서 억지로씁니다진짜
134,카카오 페이지를 여는데 자꾸 화면이 깜박했다가 갑자기 튕기서 이용에 불편을 느끼고 있습니다 나머지는 좋은데 이 것만 고쳐주세요
135,최악의 프로그램 한글파일만 아니면 진짜 어떻게 뷰어 프로그램 하나도 제대로 안돌아가게 만드냐 
136,송금수수료 얼마인가요 한달에 5번공짜인건가요 하루에 5번인건가요
137,대박이네요 ! 예스24서 책 20000원어치 공짜로 산듯요 
138,캐쉬 받을려고 게임 깔았는데 안주고 용량만 다 날리니까 좀 빡치네요 차라리 캐쉬무료 하지 마세요 안줄거면서
139,이거 정말 쓰잘대기 없습니다 왜 굳이 네이버웹툼에서 몰걸 여기서 봐야하죠 \? \? 버스 광고에 붙여 있길래 설치해보니 완전 별로네요 
