,reviews
506,면허등록 진짜 죽어도 안됌 불끄고도 해보고 불키고도 해보고 커텐치고 걷고 다 해보고 수동으로도 전부 다 해봐도 안됌 아이폰은 잘되던데 안드로이드는 왜 이꼬라지인지
507,자산 현황을 한눈에 볼 수 있고 그로 인해 절약 할 수 있어 넘 좋네요 
508,토스 쓰지도 않고 쓸 생각도 없는데 짜증나게 왜 가입해야 보낸준 돈을 받을 수 있게 해놨나요 \? 안쓰는 사람은 계좌 입력해서 돈만 가져가게 다시 전처럼 고쳐주세요 은행 어플 쓰는게 더 간편하고 수수료도 없어서 앞으로도 쓸 일 없습니다 
509,"이제 뭐하자는지도 모르겠음 웹툰들 인기 있는것만 다 기무 , 현질하게 만들어놈 이제 현질 없이는 보기도 힘듬 "
510,17일 한편만 보면 뽑기권 준다면서 안 주네요 그러면서 뭘또 5일연속 보면 뽑기권을 준다는거죠 기분 팍 상하네요
511,"로그인을했는데 , 로그인이안되요 그래서 , 못보고있어요 "
512,저만 그런게 아니었군요 난 또 와이파이나 데이터에 문제 있는줄
513,방금 24시간 상담도받았는데 굳굳 조금 헷갈리긴 하지만 새 버전에서는 수수료도 없다그러고 입금할때 편하니까 좋은것같아요 저는 안써봤지만 친구한테 토스로 돈 받아서 꽤 편하다고 느꼈어요 상담원분이 친절하셔서 말하신대로 별 다섯개 꽝꽝하구 가엽 짱친절 의심병있어서 물어보는거 계속 답 안할라그랬는데 오해도 잘 풀어주셔섴 감사해요 번창해요
514,왜 업뎃이 왜 안되는거임 재다운 받는것도 이제는 안되네 
515,좋긴한것같은데 제 핸드폰이 제명의가 아니라 계좌등록을못하네요 방법없을까요 \? 
516,다 좋고 매우매우 좋은데 카찟남 \? \? \? \? 그 이벤트 했는데 뽑기권 않주는데요 
517,어떻게 이런 재밌는 만화를 생각하셨을까요 \? 진짜 재밌네요
518,잘쓰고있습니다 편리하고 짱 좋아요 그런데 아직 카카오뱅크계좌에 이체가 안되는것 같습니다 혹시 토스를 이용하여 카카오뱅크계좌에 송금하는 방법이 있을까요 \? 
519,자꾸 카드 연동하는데 오류코드cbl00020이뜨는데 해결방법좀요 급해요
520,저 근데 친구한테 전호로 토스 보냈는데 친구가 안왔다고하는데 확인가능한가요
521,ui가 심각할정도로 쓰레기임 이벤트 찾아보는것도 고역이고 공지사항 읽는것도 불편하기 짝이 없음 작품은 텍스트를 이미지로 변환 후 업로드하는 프로세스를 거치기 때문에 폰트사이즈 조절이나 백그라운드 컬러 변환도 원활하지 않음 어플 디자인을 어떤놈이 했는지 모르겠는데 아직도 피쳐폰 쓰는놈일듯
522,아니 인증 편하게 해준다면서 편하게는 개뿔 겁나 인증 어렵게 해놨구만 그리고 인증할때마다 알 수 없는 오류 뜨는건 또 뭡니까 \? 이런 겁나 간단한 앱 하나 오류 안 나가게 하는 것도 못하는거 보니 아주 무능한 나라답습니다 추신 매크로 답변방지를 위해 질문 하나 하겠습니다 대한민국의 국화는 뭡니까 \? 
523,"물론 앱 설치 및 실행 과정에서 약간의 번거로움이 있을 수 있더라도 , 이는 어디까지나 모바일 보안 관련 범죄를 예방하고 , 사용자의 원활한 휴대전화 이용을 위한 것이니만큼 그 절차를 감수하는 게 옳다고 저는 생각합니다 비밀번호와 지문 , 목소리까지 다른 사람들과는 구별되는 본인만의 특징을 가지고 , 내가 원하는 방법에 따라 빠르고 , 간편하고 , 또 안전하게 인증할 수 있다는 점이 제일 매력적입니다 앞으로도 쭉 애용하겠습니다 "
524,편함 간단하고 그래서 가끔 돈이 들어와있는지 멀라서 잊고있다가 받는경우도있어요 
525,편리해요 개인시용도 편하게 알수있어 관리하기에도 수월합니다 
526,해피머니로 충전하려는데 계속 회원패스워드불일치가 떠요 막상 해피머니홈페이지 들어가서 똑같이 아이디랑 비밀번호치면 잘 들어가지는데 여기서는 계속 패스워드가 다르다고 뜨는데 어떻게 된건가요 \? \? 
527,왜신한은행은없어요 \? 신한인사람들도많을텐데 왜그게없죠 
528,카카오페이지 설치 안 했는데요 계속 초대메시지가 카톡으로 와서 불편해요 초대 차단할 수 있게 해주세요
529,모든계좌를 통합관리해 주어 정말 편리 ! 신용등급조회까지 무료라니 대박이에요 
530,기다리면 무료라니 이제 무턱대고 유료만 있는건 아니네요 더 많이 기다리면 무료로 풀어주세요 ! ! 
531,타임라인에 토스계좌로 받은 돈을 내통장으로 옮기니 중복수입인정되던데 개선부탁드립니다
532,"월 소득 , 소비에 본인 계좌간의 송금은 집계가 안 되게 되어있는건가요 \? 토스 초기부터 사용했는데 사용자 의견 반영도 잘 되어가고 있고 잘 사용하고 있습니다 "
533,등록한 계좌 실시간 조회가 2주째 안됩니다 다시 다운로드해도 안되고 계속 이러면 사용할 이유를 모르겠네요
534,이름어떻게바꿈 공포실화빨리보고싶어서 씐나게 이름쳤는데오타났음 
535,잘보고있습니다 뭐 캐쉬를 자꾸 사게하지만 작가의 노고에 그정도는 쓰는게 당연하니까 
536,진짜 별하나도 아깝다 북스 초기부터 이용자로서 굉장히 많이 실망임 에초에 업데이트는 허구한 날 매일하면서 바뀌는 거라곤 그냥 아이콘 위치랑 가끔 뭐 하나라도 팔아볼려고 애쓰는 제도 도입밖에 없으니 발전이 없다 그래도 네이버 페이 나오고나서 결제도 쉬워지는가 했더니 그것도 그것대로 문제가 많고 걍 내가 웹소설만 갈아탔다 진짜
537,핸드폰이 제 명의가 아니라 예전에는 사용하지 못하였는데 다른 인증을 추가해주셔서 편하게 씁니다 
538,송금편하고 수수료가 0원이라는점에서 이용햇었는데 수수료가 붙으면 그냥 20초 더걸리더라도 공인인증서 사용하는게 낫겠어요
539,"대박 ! ! 한번 시험삼아 에프터추천앱이라해서 어플깔고 혹시나해서 설치해서 잔돈벌기로 63원 보내봤는데 바로입금되었다는 문자가오다니 , 놀랍소이다 아니 무서워요 어떻게알고 그것도 겁나빨라 몬 1초 \? 무섭다 "
540,완전 편해서 좋아요 다만 일일한도가 50만원인게 좀 그렇네요 토스로 50보내구 컴으로 나머지 보내는데 이게 뭐하는짓인지 하는생각이 들때두 있어요 50만원이하로 송금할적엔 쉽고 편리한 토스 초강추입니다 
541,나 왜 이런 꿀을 이제야 알았지 캐시만 있으면 공짜로 영화 볼 수 있어서 좋고 이벤도 많이 해요 아쉬운 점은 연령이 적으면 볼 수 있는 게 적다는 것
542,업데이트 되고 더 직관적이고 심플해져서 좋고 무료송금횟수 늘어나서 더 좋네요 
543,비밀번호 찾을때 온 숫자볼려고 토스로 확인하면 처음부터 다시시작임 겁나 불편
544,인증이왜안대는지요 \? \? \? 전화밭아서 번호 눌르고 인증완료버튼누르는데 대지도안고 인증도안되고 몇번해도 안되는돼여 \? \? \? 최악이네요
545,다 좋은데 카드에 체크카드 좀 추가해 주시면 안 되나요 \? 아직 학생이어서 체크카드밖에 없는데 
546,어제 업데이트 후 지원하지 않는 앱이라며 접속이 아예 안됨 
547,와 미친듯이느려짐 똑같은환경인데 업뎃했다고 엄청 느려졌네
548,복사해놓은거 잊고있었는데 토스에서 바로떠서 깜짝놀랐어요 정말좋아요
549,이런쪽에 지식이 없는 저같은사람도 손쉽게 돈거래를 할수있어서 너무 편합니다 그나마 한가지 문제점을 고르자면 제가 학생인데 자꾸 신용등급확인하라는 광고가 나와서 불편하네요 그것만 빼면 다 완벽합니다 ! 
550,장난해요 \? 무슨 계속다운받을라고하면 핸드폰끄고다시키래 그래서 켰더니 첫번째 다운로드는 되데요 근데 2번째 다른거 다운로드할라니까 다시 핸드폰 오류났다고 핸드폰끄고다시키래 노답이안 다시 정검좀하시죠 \? 
551,은행앱에서 이체하려면 인증서비번치고 otp찾아서 입력하고 개판인데 이건 되게 편함
552,회원 가입할 때 본인인증하기위해 여러가지 적고 중간에 잘못적으면 다시적어야하고 인증번호받고 심들었는데 이걸 이용하면 한방에 끝나니 넘좋네요
553,어머니께도 추천해서 쓰시라고 등록해드리려고하는데 대구은행 계좌번호 몇번이고 맞게 입력했는데도 다시 확인해달라고하네요 어떻게해야하는지 
554,"헌터헌터 , 원펀맨 구매하여 볼려고 하는데 왜 자꾸 실패했다고하져 \? 환불바람 쿠키"
555,이거자꾸 카카오톡이랑 연결해야 켜지는데 연결이 안되네요 자꾸 오류 4 \( \? \) 라고뜨고 어떻게 해야 볼수있는거죠 \? \? \? 
556,잘되다가 오늘 들어가보니까 로그인을 다시해야되더라구요 그래서 로그인을 하는데 실패했으니 다시해라고만 하네요
557,분명 잘 사용하고 있는 휴대폰인데 통신사 등록이 안되어있다며 가입이 안되네요 알뜰폰이라서 그런건가요 \? 
558,로그인이 풀리더니 다시 재 로그인이 안되네요 왜이러죠 \? 
559,캐시오류좀 전장의날개 10렙 되고 했는데 이벤트도 없어지고 해서 진짜 짜증남 캐시도 안오고 해서 한번 전장의날개 지워 봤는데 왜 안와서 진짜 업데이트 할거면 이런걸 고치삼 좀
560,짱좋아요 상대방 계좌 몰라도 연락처만 있으면 보낼 수 있음 ! 완전 간편 카카오페이 쓰려고 했는데 그냥 토스로도 만족합니당
561,캐쉬충전할때 자동충전이랑 섞여있어서 헷갈리고 한눈에 안들어와요 왜 바꿔도 이렇게 바꿔놓은건지 모르겠어요 언뜻보면 자동충전인거 모르고 결제해서 계속 돈나갈 것 같은데 노리고 한건지요 
562,한달에 무료송금을 10회 \? \? \? \? \? 그럼 토스머니를 이용하는 이유가 사라지잖아요 
563,다 좋은데 최근 바뀐거 중에 저금통 내역이 내 계좌 보기를 눌러야 보여서 불편해요 전에는 토스앱에 들어 가면 저금통 내역도 다른 통장 내역들 처럼 굳이 찾질 않아도 보였는데 지금은 따로 들어가야 해서 불편하네요
564,다 좋은데 500캐시뽑기권에서 100캐시밖에 안나와요 이거 확률 높게 수정 부탁드립니다 나머지는 다 좋습니다 
565,증권기능 많이 기대했는데 너무 심플하게 만들어서 트레이딩으론 적합하지 않네요
566,토스를많이 쓰는데 ! 정말편하고 친구하고도 더치페이너무쉽게가능하고 시간도줄일수잇어요 진짜혁명이에요 이앱만들어주셔서 감사합니다 
567,왜 접속이 안되는거죠 \? 아까까지만해도 접속이 잘되던게 잠깐 나갔다가 다시 접속하려니 접속이 안되네요
568,"왜 캐시 지급이 안되죠 \? 아이디어스 설치후 실행하면 300캐시 준다길래 없는 저장공간까지 확보하고 설치 , 실행했는데 캐시 지급이 안되었네요 어이가 없습니다 저번에 직방 설치 때도 캐시 못받았는데 뭡니까 \? "
569,제가 사용해본 웹 소설사이트중 가장보기 편하네요 댓글에 작성시 스포일러 유무체크 후 보이지 않는 기능좀 넣어 주세요 
570,"폰소유주와 실사용자가 틀리면 돈자체가 잠기는사태가 발생함 송금을 편히하기위한앱인데 , 편한점도 물론있겠지만 , 때에따라 변수가 발생할시 최악의 어플임 돈붙여주고 욕먹는 앱임 보낸돈 받은사람이 못찿음 뭐하자는건지 인증방법 신분증들고 스마일하고 인적사항메모들고 사진찍어주기 이거뭐 부모명의 폰을가진 학생들은 완전 비추임 "
571,kt 인증앱 은 사람들에게 좋은 앱 입니다 다루기 간편 하고 개인정보를 더욱 안전 하게 지킬 수 있는 세계 최고 라고 불릴 자격이 있으십니다 
572,앱설치해도 캐시않주네 역시 카카오페이지는 제발캐시좀 줘라
573,좋아요 ! 허니블러드랑 버림받은 황비 황딸 왕딸 보는데 진짜 재밌어요 ! ! 
574,간편 좋음 무료이체 5회 아쉽지만 그 정도까지 안할듯 이체한도 아쉬움
575,편리하고 좋네요 우리은행이 주거래은행인데 우리은행도 이용할수있게 부탁드려요 
576,제발 거지같은 뷰어 좀 어떻게 못 해줄 거면 책갈피 기능이라도 빨리 만들어줘요 그정도는 해줄 수 있잖아요
577,정말 좋습니다 ! 인증서 없이 지문만 등록해 놓으면 바로 사용할수 있는게 좋습니다
578,안에돈묶어놓고 들어가지지않아요 보안이낮다고 비밀번호나pin 설정하라해서 했는데도 똑같은말계속하고 나가야될돈많은데 이럴꺼면 다른어플썻지 
579,괜찮네요 편하고 근데 계좌복사하면 팝업이 뜰때있고 안뜰때있네요
580,"달빛조각사 재밌게 보고 있는데 카카오페이지가 시원하게 바뀌었네요 작은 표지만 봐서는 어떤 내용일지 생각해내기 좀 쉽지 않았는데 , 이미지를 많이 보여주니까 어떤 내용을 소개하는지 감각적으로 알 수 있는 것 같아요 "
581,시분초 정확히 입력했고 뒷자리 숫자도 정확히 입력햇는데 계좌인증오류라고 안되네요
582,토스앱만 들어가면 등록되어있는 은행 계정이 로그인 비밀번호 오류 횟수가 갑자기 3회 4회 5회 이렇개 올라가더니 오류횟구초과가 됩니다 처음엔 누가 계정 도용하려고 하나 불안했는데 이게 토스앱 들어올때마다 반복되네요 서비스는 잘 이용하는데 
583,렉 진짜 많이 걸리네요 처음에 조금만 더 기다려 주세요 이러더니 나중에는 조금만 더 14 기다려 주세요 \? ! 그리고 그다음에는 왜 화면이 안 나옴 \? 정말 화가나는 어플이네요 
584,다 좋은데 캐쉬 프렌즈 미션 후 캐쉬 미지급 현상 문의했는데 아직 해결이 고객센터 답변 혹은 해결 빠르게 7
585,기존 앱에서 과도기도 없이 돌아갈수도 없이 강제로 바로 새 서비스 적용하는건 무슨 배짱인가 여기서 더 보고 싶지 않으니 구매한 목록들 환불받고 싶네 
586,간편해서 사용할려는데 내가거래하는은행이없네 신한과제일 경조비전달에 아주 잘어울릴거같은데
587,"기다리면 무료 대여권 쓸 때 누르면 대여권을 사용하겠냐 뭐 이런 거 창 하나만 뜨게 해주세요 저 방금도 스크롤 내리다가 봐야하는 회차보다 한참 멀리 있는 거 눌러져서 대여권 하나 날리고 오는 길이거든요 저번에도 그랬었는데 제발 이거 하나만 좀 해주세요 , , "
588,항상 잘쓰던 앱이니 별 5점남기기는 하는데 업데이트 한후 은행 잔고 다 없어졌네요 해결부탁합니다
589,기무로 바뀐다는 거라도 말을 하고 바뀌던가 바뀌었으면 뭐가 좀 좋게 업뎃이라도 되던가 렉만 오지게 늘어나서 진짜
590,다른건 다 빠르게 잘되는데 이 어플만 계좌확인하고 돈 보내는데까지 5분은 걸리는 듯하네요 타행으로의 이체도 수수료가 무제한으로 들지않는 올원페이로 갈아탑니다 
591,뭔가 쓰면서 아 도용되지는 않을까 불안하기는 한데 아직까지 그런일 한번도 안생기고 진짜 편하게 잘쓰고있음 ! 특히 친구들이랑 같이 놀거 돈낼때 토스로 바로보내주면 짱편함 ! ! 
592,pass본인인증이나 큐알이나 모두 편리성에서는 최고입니다 잘쓰겠습니다 감사합니다 
593,여러가지 내 정보를 한번에 알 수 있어서 좋은 것 같아요
594,공인인증서의 속박에서 벗어나게해준 개발자에게 축복을 ! 
595,입금된돈을 토스잔고입금으로 받았는데 토스 계정에 충전이 되는건가요 \? 
596,이거 완전잼 있음 ! ! ! ! ! ! ! ! ! 다양한 만화도 만음 ! ! ! ! 내가 추천하는데 황제의 외동딸과 모래의 바다 꼭 보셈 ! ! ! ! ! ! ! ! ! ! 
597,학생이지만 그동안 항상 돈입금해야하면 은행가서 직접해야됐었는데 아는언니추천으로 하게되었는데 너무너무좋아요 모르는부분이있어서 카톡으로 연락드렸는데 바로바로 답변해주시고 넘넘 만족합니당 
598,빠르고 신속하고 편리한 대출과 결재기능 낯은대출이율 정말 좋은 은행
599,사용할려는데 업데이트 하라길래 할려니깐 계속 업데이트 오류 뜨네요 오류코드 \( 504 \) 라고 뜨는데 왜이런건가요 다른건 다 업데이트 잘되는데 토스만 이러네요 
600,제 명의의 폰이 아니여서  핸드폰이 내 명의가 아니에요  메뉴에 들어가서 정보룰 다 입력하고 인증전화를 받을려는데 저는 03년생인데 만 14세 미만은 전화를 받을 수 없다고 알림이 뜨더라구요 어케해야하죠 \? 
601,토스 좋아요 빠르고 간편하게 본인의 금융 내용을 파악할 수 있어서 좋아요
602,개똥같은어플 쓰레기통에 버리고싶을만큼 화남 내가 이것땜에 kt로 바꾼거 너무 후회함 뭔 어플이 인증됐다해놓고 광고만 띄우고 실행이 안되냐 회원가입 비번 몇번을 바꾸고 인증확인되어도 그후에 실행이 안되고 자꾸 인증실패란다 병진같은것때문에 물건살때마다 짜증남
603,아주 좋게 쓰고 있습니다 계좌 등록에 카카오도 포함해 주셨으면 좋겠습니당 ! 감사합니다 ! ! 
604,ui도 직관적이고 공인인증서가 없어도 계좌등록 이체 가능한 혁명적인어플
605,pass by kt 연말정산 빠르게pass 참 좋아요 ! ! 넘 좋아요 ! ! 딱 좋아요 ! ! 짱 좋아요 ! ! 늘 좋아요 ! ! 
606,웹툰 하나 볼때마다 이미지가 중간중간 안떠서 재시도 몇번씩 눌러야함 어플 수준 너무 한심 네이버 웹툰 보고 배워라 좀 이러니 네이버웹툰 매출 따라가질 못하지 
607,양아치들 잘 보고 있는 무료웹툰을 왜 유료로 바꾸고 대여권도없이 소장권만 살 수 있게 해놨네 공지도 없이 쌩양아치 카카오 극혐
608,계속되는 카톡 푸시에 카톡친구를 삭제 및 차단을 하는데 꾸준히 카톡이 오는 이 줄편함 올해들어 기분 최악으로 만들어 주는 앱입니다
609,농협까지 가기엔 시간이없엇는데 토스 어플이 생기고난후 넘좋아요
610,저 말고도 다른 분들도 그러는데 기기의 용량 관리 확인해보라고 메시지가 뜸 해결방법은 어플리케이션 카카오페이지 권한 저장공간 허용 하셔야 해결 됩니다 cs 가 답답하니 대답도 잘 못해주네요 다들 재부팅 해보고 다시도 깔아봤을텐데 저런 안내라니
611,캐시 받으려고 캐러비언의 해적 5레벨까지 올려놨는데 안주는거 뭐에요 저 말고도 여러명이 이렇다는데 해결해주시길 바래요
612,별 하나도 아깝다 난 앱 평가를 위해 가입하고 탈퇴해 본다 완전 쓰레기 앱이다 이 앱을 맛려면 사용자의 정보와 개인정보를 완전 공개해야 한다 쪽 팔린데 그거 다 공개하고 가입하고 더 많은 정보를 공개하고 탈퇴해야한다 개인정보 보호하려면 이런 쓰레기 앱에 근처도 얼씬거리지 마라 후회한다 후회한다 후회한다 추가 \) 사용자 편의를 생각해라 이미 한두가지 정보로 개인의 신상을 파악할 수 있는데 은행도 원하지 않는 쓸데없는 정보부터 고민감성 정보까지 몇번을 더 물어 가입시키고 사용자가 원히는 정보는 다른데서 쉽게 얻을 수 있는 정보 외엔 주는것도 별로 없다 게다가 탈퇴하는 건 더 심하다 휴대폰으로 인증받으면서 탈퇴하기 엄청 어렵고 까다롭게 해서 쉽게 탈퇴도 못하게 한다 이건 쓰레기 앱이다 
613,인증 앱 중에서는 가장 좋은 앱입니다 ! 앞으로도 쭉 이 앱만 쓸 것 같네용 편리하고 너무 좋습니다 ! 
614,고객센터 문의하시면 해결됩니다 보통은 1번에 안되고 2번 이상 문의하시고 안내원의 메뉴얼대로 해주셔야 할겁니다 어렵거나 오래걸리는건 하나도 없으니 이번 업뎃으로 문제있는분들은 토스 고객센터 바로 전화해보세요 
615,받는계좌 은행과 보내는 계좌 은행이 모두 지원되어야 보낼수 있나요 \? 아니면 보내는 계좌만 지원되는 은행이면 되는건가요 \? 
616,님들 캐시뽑기권이라고해도 이앱사용자가500만을넘어가는데 다3천캐시주면 남아도는게잇나요 양심들이잇으셔야지 유료만화도 기다리면무료로계속볼수잇고 이런앱잇으면나와보라하셈
617,재미있네요 그런데 제가 미드나잇 파트너 시청잔데요 쫌 더 빨리 내주시길 정말 재미있네요
618,오류투성이 하루에 열두번 넘게 빡침 또 왜 안 되는거냐 \? 심심하면 알수없는 오류로 인내심 테스트하냐 \? 
619,다운하라고 하지마세요 제발 ! 웹툰은 재밌는데 이걸로 보라하면 갑자기 짜증나여 제발 이거 다운하라 하지마세여
620,다 좋은데 하나은행 등 추가안된 은행들만 추가되면 좋을꺼같아요 
621,하 진짜 뭐하는거죠 \? 자꾸오류뜬는데 빨리 처리해주던지해요
622,핸드폰을 바꿔서 다시 가입 하려하는데 인증번호가 안오네요 
623,안드로이드 태블릿도 애이패드처럼 가로보기 \( 두쪽보기 \) 지원좀 해주세요 10 1 태블릿으로 볼라니 힘드네요 
624,혹시 첫화면에 지문잠금이나 비밀번호를 설정 할 수있는 것은 언제나오나요 \? 
625,나만 그런 것일지는 몰라도 계속 로딩 안돼고 로그인 다시해도 안돼고 삭제했다다시깔았는데도 그래요 아 나진짜 이럴거면 이딴 앱 만들지마요 처음엔 잘 썼는데 나중되니까 이러네 아 씨 나이앱 안쓸라요 이게 뭐예요 괜히 용량만 채웠네
626,안녕하세요 최근에 제가 예전에 소장했던 전지적 독자시점을 재독하려고 다시 다운로드를 했는데요 다운로드도 완료되서 읽으려했는데 일부 화들이 해당 데이터를 찾을 수 없습니다 라는 문구와 함께 읽을 수 없었습니다 어떻게 된 일인지 문제파악 부탁드립니다 
627,꺄악 ! 넘나좋아요 행복해요 진심 사랑해요 ! ! ! ! 
628,요즘 계속 앱자체가 실행이안되요 들어가면 계속 서버확인중 계정연결확인 그거만뜨면서 로딩만되고 실행이안되네요 지웠다깔아서해도안되고 결제한것도못보고있어요 
629,저가 돌림판에서 돌렸는데100캐시가 나와서 안쓰고모으고있었는데 또 며칠이지나고 기회가 있어서 돌려는데 100캐시가 나온거에요 안쓰고 모았는데 모르고 삭제 해버렸써요 근데 계정은 똑같은데 왜 200캐시가 점점 없어져죠 
630,정말 편리한 세상 토스짱입니다 송금이 이렇게 쉬워도 되는지 
631,토스 오류때문에 지금 돈을 못 보내고 있네요 업데이트는 최신 버전인데 업데이트 때문에 송금이 안된다고 하는데 빨리 고치시든가 공지를 올리시든가 좀 하세요 
632,"최고임 도구만 스마트폰인 뱅킹인가 , 진짜 스마트 뱅킹인가를 가르는 앱 "
633,카카오계정이 없으면 못들어가는거임 \? 카카오계정 잊어버린 사람은 슬퍼서 살겠나 
634,진짜 조아요 ! ! ! 근데 캐시가 넘 적어요 캐시가 조금 더 있으면 좋을텐데 
635,와 진짜 카카오톡최고 ! 네이버웹툰이랑 비교해도 손색없고 이모티콘에 영화표까지 혜택으로치면 카카오가 한수 위다 ! ! ! ! ! 
636,너무 편하고 안전하고 다 좋은데 하나은행이 없어요 하나은행 요청했는데 개설해주세요 일부러 2개등록할라고 친구도 초대했는데 
637,내 사라진 쿠키 내놔라 ! ! 이제 여기 이용하기 싫어질라하네 하 참 어쩌자고 이런식으로 바꿔놨을까 대체 누구편하라고 이렇게 불편하게 바꿨냐 대단하오 
638,"개설도 쉽고 , 모바일뱅킹 사용하는건 비슷할테고 , 암튼 잘쓸께요"
639,본인인증에 아이핀은 왜 없나요 \? 가뜩이나 휴대폰 명의가 부모님이라 불편한데 아예 만들 생각이 없는거 아니에요 \? 
640,이걸 앱이라고 재생오류로 문의했는데 2일이나 걸려서 보지도못하고 대여만료되고 아무런 조치하지않고 상황에 전혀 맞지않게 매크로처럼 답변만하고 다시 환불 문의해야되고 엉망이네
641,웹소설 인터페이스 개선 좀 해주세요 제발 글자 크기만 줄이지 말고 1 색반전말고 야간모드 만들 것 누리끼리한 블루라이트 필터 같은거 말고 색반전 처럼 배경이 검게 변하되 표지는 색반전 하지 말 것 무서움 2 글자 크기를 독자가 정할 수 있게 할 것 할아버지 폰으로 웹소설 읽는 것 같음 3 페이지 사이의 간격을 좁힐 것 간격이 너무 커서 읽 다보면 이렇게 됨 제일 빡침 이것만 해줘도 반은 갑니다 다른 플랫폼은 다 되는건데 카카페만 이래서 사람들이 퍽이나 편해하겠습니다 중소기업인 문피아에도 있는데 대기업인 카카오 인터페이스가 이래서 되겠습니까 
642,진심짱이네요 근데 보안에 문제 없는거죠 \? \? \? 
643,비트코인 연동할 생각을 했으면 그에 맞는 서버관리도 병행돼야함 멋모르고 남들다하니 뛰어들었다가 수습못하는 우스운꼴 만들지말고 비트코인에서 손을떼든 서버 트래픽 몰릴때 비트코인관련기능만 우회하도록 하든 대책이 필요할거같다 이러고 백날 쓰면 뭐하나 어차피 여기 답글다는 불쌍한 사원들은 위에서 시키는대로 똑같은말 복붙하면서 뺑이칠뿐이고 윗대가리들은 돈되면 무조건 하라할게뻔한데
644,아 카카페 요새 재미없다 전에 무료작품 유료 기무로 바꿀때 지울껄 그랬다
645,와아 ! 이거 덕분에 알라딘에서 수십분을 해맸어요 ! 회원가입은 5번을 했구요 ! 그놈의 6자리 비밀번호는 수십번을 입력했네요 ! 생체인증은 어따팔아 먹었나요 인증을 하라고 앱만 수십번 띄워대고 인증을 해도 사이트에서 못알아먹고 쓸데없는거 만드는 것도 능력이 있어야 하나봐요
646,너무좋아여 그래서 별5개 근데 500캐시뽑는거 맨날100캐쉬만 나오거든요 그것좀 많이나오게해주시고3000캐시 뽑기권도 좀 주세요 
647,가격이 웬만해야 사서 보죠 동네 책방가도 구권부터 신권까지 해봤자 한권에 200 500원 사이인데 페이지 몇조각에 몇백원씩 받아먹는건 고금리 사채업자랑 다를게 없어 보이네요 가격이 아무리봐도 합리적이지 않다고 생각합니다 이 가격이면 차라리 만화책을 사겠어요 권당 가격으로 바꿔주셨으면 합니다 
648,갈수록 유용한 기능이많아져서 잘이용하고있네요 한줄메모기능이있으면어떨까해서요 당월에 꼭지출해야하는게잇는데 자꾸잊어서 간단하게 표시해두고싶네요 반영되길바래요 
649,신세계란 이런거라고하고싶네요 너무 편리하니까 좀 불안하기도 합니다만 믿고 사용해보겠습니다 
650,요새 젊은이들이 쓰는거라서 써봤는데 너무 좋아요 마치 새마을운동하던때처럼 신세계네요 감사합니다 홀홀 
651,넘좋은데 5회초과하면 수수료드는게 너무 아쉽네요 그래도 타사보단 싸서 괜차나유 히히 번창하세요
652,7 18일 8 21일 계좌에는 토스로 송금된걸로 나와있는데 토스에는 내역이 없네요
653,웹툰볼려고 터치하면 다운로드가 않된데요 폰 다시 껐다가켜도 다운이 않되요 
654,잘 쓰고 있습니다만 무료웹툰에도 대여권과 소장권을 쌓을 수 있게 해주세요
655,카뱅인증서 일주일 남으면 갱신하라고 비번찾 나오는데 갱신물론 비번 입력안하면 앱못하게 막음
656,이승민 선생님의 친절에 감동했 습니다 토스를 처음사용해본 나같은70이 넘은 고령자는 너무 서툴러 급한김에 새벽3시에 5 6차에 걸쳐 고객센터에 문의 한바 근무중인 이승민 선생님 께서 성의를 다하여 친절하게 안내해 주셔서 급한 결제를 할 수 있어 너무나 감사합니다 요즘 볼 수없는 이승민선생님의 성실한 근무 자세에 감동했습 니다 언제나 건강하시기 바랍 니다 
657,설치하고 이용약관에동의하려는데 이용약관글하나도안 나오고 이틀전에그래서오늘다시깔앗는데도이래요 
658,방금 업데이트하고 어플실행이 전혀안되요 켜지다 꺼지구 아무것도 안눌리고 속터져요
659,만보기업데이트가 모든사용자들을위해 업데이트되었다고하는데 전혀모르겠고 토스본인들을위해업데이트한거같다라는느낌만듭니다 삭제합니다 수고하세요 
660,너무 잘 쓰고 있어요 ! 언제적 모델인지도 모를 갤럭시3 쓰면서도 리뷰에 널리고 널린 렉한번 걸린적이 없네요 스마트폰에 어울리는 스마트한 어플이에요 고마워요 ! 
661,제가 아이디를 찾는데 왜 이 앱을 깔아야되는지 모르겠네요
662,앱접속하는데 왜이리 오래 걸리나요 작품 하나를 보려고 해도 너무 오래걸리고 뭐져 \? 그리고 왜 웹툰들은 다 기무로 변 경 되어있는건가요 \? 
663,친절한게 계속되니까 사람들이 캐시를 그냥달라고하내 나참 그래도 꿀잼
664,"후발주자들이 많이 생긴 것 같지만 기타 서비스까지 보면 앞으로가 더욱 기대됨 \( 펀드소액투자 , 부동산투자 등등"
665,너무 잘쓰고 있어요 간편하게 사용하기 좋은것 같아요 좋은 앱 만들어주셔서 감사합니다 ! ! 
666,다좋은데 우리은행은 안돼요 \? 언제되나요 빨리 됏으면 좋겟어요
